date,open,high,low,close,volume
2026-04-07,120,121.68,118.8,120.48,7000000
2026-04-08,120.48,122.17,119.28,120.96,7140000
2026-04-09,120.96,122.66,119.75,121.45,7280000
2026-04-10,121.45,123.15,120.23,121.93,7420000
2026-04-11,121.93,123.64,120.71,122.42,7560000
2026-04-12,122.42,124.14,121.2,122.91,7000000
2026-04-13,122.91,124.63,121.68,123.4,7140000
2026-04-14,123.4,125.13,122.17,123.89,7280000
2026-04-15,123.89,125.63,122.66,124.39,7420000
2026-04-16,124.39,126.14,123.15,124.89,7560000
2026-04-17,124.89,126.64,123.64,125.39,7000000
2026-04-18,125.39,127.15,124.13,125.89,7140000
2026-04-19,125.89,127.66,124.63,126.39,7280000
2026-04-20,126.39,128.17,125.13,126.9,7420000
2026-04-21,126.9,128.68,125.63,127.41,7560000
2026-04-22,127.41,129.19,126.13,127.91,7000000
2026-04-23,127.91,129.71,126.64,128.43,7140000
2026-04-24,128.43,130.23,127.14,128.94,7280000
2026-04-25,128.94,130.75,127.65,129.46,7420000
2026-04-26,129.46,131.27,128.16,129.97,7560000
2026-04-27,129.97,131.8,128.67,130.49,7000000
2026-04-28,130.49,132.33,129.19,131.02,7140000
2026-04-29,131.02,132.86,129.71,131.54,7280000
2026-04-30,131.54,133.39,130.22,132.07,7420000
2026-05-01,132.07,133.92,130.75,132.59,7560000
2026-05-02,132.59,134.46,131.27,133.12,7000000
