date,open,high,low,close,volume
2026-04-07,100,101.5,99,100.5,9000000
2026-04-08,100.5,102.01,99.49,101,9180000
2026-04-09,101,102.52,99.99,101.51,9360000
2026-04-10,101.51,103.04,100.49,102.02,9540000
2026-04-11,102.02,103.55,100.99,102.53,9720000
2026-04-12,102.53,104.07,101.5,103.04,9000000
2026-04-13,103.04,104.59,102.01,103.55,9180000
2026-04-14,103.55,105.11,102.52,104.07,9360000
2026-04-15,104.07,105.64,103.03,104.59,9540000
2026-04-16,104.59,106.17,103.55,105.11,9720000
2026-04-17,105.11,106.7,104.06,105.64,9000000
2026-04-18,105.64,107.23,104.58,106.17,9180000
2026-04-19,106.17,107.77,105.11,106.7,9360000
2026-04-20,106.7,108.3,105.63,107.23,9540000
2026-04-21,107.23,108.85,106.16,107.77,9720000
2026-04-22,107.77,109.39,106.69,108.31,9000000
2026-04-23,108.31,109.94,107.22,108.85,9180000
2026-04-24,108.85,110.49,107.76,109.39,9360000
2026-04-25,109.39,111.04,108.3,109.94,9540000
2026-04-26,109.94,111.59,108.84,110.49,9720000
2026-04-27,110.49,112.15,109.38,111.04,9000000
2026-04-28,111.04,112.71,109.93,111.6,9180000
2026-04-29,111.6,113.28,110.48,112.16,9360000
2026-04-30,112.16,113.84,111.03,112.72,9540000
2026-05-01,112.72,114.41,111.59,113.28,9720000
2026-05-02,113.28,114.98,112.15,113.85,9000000
