date,open,high,low,close,volume
2026-04-05,100,101.4,99,100.4,7500000
2026-04-06,100.4,101.81,99.4,100.8,7635000
2026-04-07,100.8,102.22,99.79,101.2,7770000
2026-04-08,101.2,102.63,100.19,101.61,7905000
2026-04-09,101.61,103.04,100.59,102.02,8040000
2026-04-10,102.02,103.45,101,102.42,7500000
2026-04-11,102.42,103.86,101.4,102.83,7635000
2026-04-12,102.83,104.28,101.81,103.25,7770000
2026-04-13,103.25,104.69,102.21,103.66,7905000
2026-04-14,103.66,105.11,102.62,104.07,8040000
2026-04-15,104.07,105.53,103.03,104.49,7500000
2026-04-16,104.49,105.96,103.44,104.91,7635000
2026-04-17,104.91,106.38,103.86,105.33,7770000
2026-04-18,105.33,106.81,104.27,105.75,7905000
2026-04-19,105.75,107.23,104.69,106.17,8040000
2026-04-20,106.17,107.66,105.11,106.6,7500000
2026-04-21,106.6,108.09,105.53,107.02,7635000
2026-04-22,107.02,108.52,105.95,107.45,7770000
2026-04-23,107.45,108.96,106.38,107.88,7905000
2026-04-24,107.88,109.39,106.8,108.31,8040000
2026-04-25,108.31,109.83,107.23,108.74,7500000
2026-04-26,108.74,110.27,107.66,109.18,7635000
2026-04-27,109.18,110.71,108.09,109.62,7770000
2026-04-28,109.62,111.16,108.52,110.05,7905000
2026-04-29,110.05,111.6,108.95,110.5,8040000
2026-04-30,110.5,112.05,109.39,110.94,7500000
2026-05-01,110.94,112.49,109.83,111.38,7635000
2026-05-02,111.38,112.94,110.27,111.83,7770000
