date,open,high,low,close,volume
2026-04-05,250,253,247.5,250.5,10000000
2026-04-06,250.5,253.51,248,251,10300000
2026-04-07,251,254.02,248.49,251.5,10600000
2026-04-08,251.5,254.53,248.99,252.01,10900000
2026-04-09,252.01,255.04,249.49,252.51,11200000
2026-04-10,252.51,255.55,249.98,253.02,10000000
2026-04-11,253.02,256.06,250.48,253.52,10300000
2026-04-12,253.52,256.57,250.99,254.03,10600000
2026-04-13,254.03,257.08,251.49,254.54,10900000
2026-04-14,254.54,257.6,251.99,255.05,11200000
2026-04-15,255.05,258.11,252.49,255.56,10000000
2026-04-16,255.56,258.63,253,256.07,10300000
2026-04-17,256.07,259.14,253.51,256.58,10600000
2026-04-18,256.58,259.66,254.01,257.09,10900000
2026-04-19,257.09,260.18,254.52,257.61,11200000
2026-04-20,257.61,260.7,255.03,258.12,10000000
2026-04-21,258.12,261.22,255.54,258.64,10300000
2026-04-22,258.64,261.75,256.05,259.15,10600000
2026-04-23,259.15,262.27,256.56,259.67,10900000
2026-04-24,259.67,262.79,257.08,260.19,11200000
2026-04-25,260.19,263.32,257.59,260.71,10000000
2026-04-26,260.71,263.85,258.11,261.23,10300000
2026-04-27,261.23,264.37,258.62,261.76,10600000
2026-04-28,261.76,264.9,259.14,262.28,10900000
2026-04-29,262.28,265.43,259.66,262.8,11200000
2026-04-30,262.8,265.96,260.18,263.33,10000000
