date,open,high,low,close,volume
2026-04-05,180,182.35,178.2,180.54,6000000
2026-04-06,180.54,182.89,178.73,181.08,6180000
2026-04-07,181.08,183.44,179.27,181.62,6360000
2026-04-08,181.62,183.99,179.81,182.17,6540000
2026-04-09,182.17,184.54,180.35,182.72,6720000
2026-04-10,182.72,185.1,180.89,183.26,6000000
2026-04-11,183.26,185.65,181.43,183.81,6180000
2026-04-12,183.81,186.21,181.98,184.37,6360000
2026-04-13,184.37,186.77,182.52,184.92,6540000
2026-04-14,184.92,187.33,183.07,185.47,6720000
2026-04-15,185.47,187.89,183.62,186.03,6000000
2026-04-16,186.03,188.45,184.17,186.59,6180000
2026-04-17,186.59,189.02,184.72,187.15,6360000
2026-04-18,187.15,189.59,185.28,187.71,6540000
2026-04-19,187.71,190.16,185.83,188.27,6720000
2026-04-20,188.27,190.73,186.39,188.84,6000000
2026-04-21,188.84,191.3,186.95,189.4,6180000
2026-04-22,189.4,191.87,187.51,189.97,6360000
2026-04-23,189.97,192.45,188.07,190.54,6540000
2026-04-24,190.54,193.02,188.64,191.11,6720000
2026-04-25,191.11,193.6,189.2,191.69,6000000
2026-04-26,191.69,194.18,189.77,192.26,6180000
2026-04-27,192.26,194.77,190.34,192.84,6360000
2026-04-28,192.84,195.35,190.91,193.42,6540000
2026-04-29,193.42,195.94,191.48,194,6720000
2026-04-30,194,196.53,192.06,194.58,6000000
