date,open,high,low,close,volume
2026-03-26,430.00,431.50,428.70,430.80,35000000
2026-03-27,430.90,432.10,429.80,431.60,36200000
2026-03-30,431.40,432.00,429.90,430.70,33000000
2026-03-31,430.80,432.60,430.10,432.00,37100000
2026-04-01,432.10,433.40,431.20,432.90,39000000
2026-04-02,432.70,433.10,430.80,431.60,41200000
2026-04-03,431.50,432.70,430.90,432.20,34200000
2026-04-06,432.30,433.60,431.70,433.10,35500000
2026-04-07,433.00,434.20,432.50,433.80,36700000
2026-04-08,433.70,434.80,432.80,434.30,38000000
2026-04-09,434.00,434.50,432.70,433.50,33500000
2026-04-10,433.60,435.00,433.10,434.60,35200000
2026-04-13,434.70,435.60,434.00,435.20,36000000
2026-04-14,435.10,436.20,434.60,435.80,37200000
2026-04-15,435.70,436.60,434.90,436.10,38800000
2026-04-16,436.00,436.70,435.00,436.30,35000000
2026-04-17,436.20,437.30,435.80,436.90,36500000
2026-04-20,437.00,438.00,436.20,437.40,38900000
2026-04-21,437.20,438.10,436.50,437.10,34000000
2026-04-22,437.30,438.40,436.80,437.80,35600000
2026-04-23,437.90,438.90,437.20,438.30,37000000
2026-04-24,438.20,439.10,437.60,438.80,38200000
2026-04-27,438.70,439.40,438.00,439.00,34500000
2026-04-28,439.10,440.10,438.40,439.70,39400000
2026-04-29,439.50,440.00,438.80,439.40,36100000
2026-04-30,439.60,441.00,439.10,440.20,40200000
