date,open,high,low,close,volume
2026-03-26,210.00,211.80,208.90,211.20,9600000
2026-03-27,211.10,212.40,210.20,212.10,9900000
2026-03-30,212.00,212.70,210.60,211.40,9100000
2026-03-31,211.50,213.20,211.00,212.90,10200000
2026-04-01,213.00,214.10,212.20,213.80,10400000
2026-04-02,213.40,214.00,211.80,212.60,11000000
2026-04-03,212.50,213.70,211.90,213.20,9300000
2026-04-06,213.30,214.40,212.80,214.10,9700000
2026-04-07,214.00,215.10,213.50,214.80,10100000
2026-04-08,214.70,215.40,213.90,215.20,9800000
2026-04-09,215.00,215.50,213.80,214.60,9000000
2026-04-10,214.70,216.20,214.20,215.80,9600000
2026-04-13,215.90,216.80,215.30,216.40,9900000
2026-04-14,216.30,217.20,215.80,216.90,10100000
2026-04-15,216.80,217.60,216.00,217.20,10500000
2026-04-16,217.10,217.70,216.20,217.40,9700000
2026-04-17,217.20,218.40,216.90,218.00,10000000
2026-04-20,218.10,219.00,217.40,218.60,10400000
2026-04-21,218.40,219.10,217.60,218.20,9400000
2026-04-22,218.30,219.50,217.80,219.00,9800000
2026-04-23,219.10,220.10,218.50,219.60,10100000
2026-04-24,219.50,220.40,218.90,220.00,10300000
2026-04-27,220.10,220.80,219.30,220.20,9500000
2026-04-28,220.30,221.30,219.80,221.00,10600000
2026-04-29,220.80,221.40,220.10,220.70,9800000
2026-04-30,220.90,222.20,220.40,221.60,10800000
